Country,First_Year,Last_Year,First_CO2,Last_CO2,CO2_Change,CO2_Pct_Change,First_Per_Capita,Last_Per_Capita,Per_Capita_Change,Per_Capita_Pct_Change
Kenya,1980,2023,5.745288818,19.023117614,13.277828796000001,231.10811686960875,0.3586667393744467,0.343756078244999,-0.014910661129447722,-4.157246684053702
Ivory Coast,1980,2023,4.01485,16.280237728,12.265387728,305.500522510181,0.48838215269379276,0.5223776089380455,0.033995456244252764,6.960830992029991
Greece,1980,2023,50.853998329,62.05999197,11.205993641,22.035619635063522,5.254079425826444,5.964043900020085,0.7099644741936411,13.51263307333742
Lebanon,1980,2023,6.435273793,17.483803211,11.048529418000001,171.68701400114617,2.1853282566372916,3.0282886306435293,0.8429603740062377,38.573627163150135
Nepal,1980,2023,0.411000276,11.357114891,10.946114615,2663.286439009594,0.026425600796239467,0.38246385088068174,0.3560382500844423,1347.323199308713
Honduras,1980,2023,1.69779,10.534453274,8.836663274000001,520.4803464503856,0.45551682199887156,0.9896290951962686,0.5341122731973971,117.25412704927946
Senegal,1980,2023,2.48792,10.372855168,7.884935167999999,316.92880671404225,0.42560281700645847,0.5737969853249081,0.14819416831844962,34.81982787632742
Malta,1980,2023,1.265246001,8.965105249,7.699859248000001,608.5661793765274,3.9784107091199514,16.14109882233477,12.162688113214816,305.7172575303387
Mozambique,1980,2023,1.88754,9.548624685,7.6610846850000005,405.87667996439814,0.16650523719546728,0.28388818976927715,0.11738295257380987,70.49805432606858
Norway,1980,2023,31.745929664,38.535162294,6.789232630000004,21.386151553466775,7.766968332150808,6.97184574727342,-0.7951225848773875,-10.237232223363584
El Salvador,1980,2023,1.98901,8.693611681,6.704601681,337.08235157188756,0.438071069791044,1.3778335572769471,0.9397624874859032,214.52283711274555
Mali,1980,2023,0.41802,6.858083328,6.440063328,1540.6112932395579,0.05551014771234106,0.2885290007669612,0.23301885305462014,419.77703655581377
Afghanistan,1980,2023,1.325964518,7.756799675,6.430835157,484.99300469215115,0.10068595226325448,0.18711481323254556,0.08642886096929107,85.84003927709134
Brunei,1980,2023,4.5132476,10.822534343,6.3092867429999995,139.79482851771746,24.250300089731393,23.58112631904634,-0.6691737706850525,-2.7594453190639445
Zambia,1980,2023,3.62725204,9.87721946,6.249967419999999,172.30584892027517,0.62508296206353,0.4766086915821107,-0.14847427048141926,-23.752730356187367
Paraguay,1980,2023,1.386,7.509184438,6.123184438,441.788198989899,0.4539447504040796,1.097168943795179,0.6432241933910994,141.6965815374079
Mongolia,1980,2023,13.204094381,19.203476225,5.999381843999998,45.435769170453625,7.761019658679802,5.5955293476094505,-2.165490311070352,-27.902136656083602
Uganda,1980,2023,0.70227,6.353602411,5.651332411,804.7235979039401,0.05289874613392549,0.130580484682448,0.07768173854852252,146.8498673897735
Costa Rica,1980,2023,2.340974967,7.909851238,5.568876271,237.88704917834343,0.9792280818511249,1.5492728442226804,0.5700447623715555,58.213686161241164
Benin,1980,2023,0.42067,5.948411318,5.5277413179999995,1314.0326902322486,0.10717021663073266,0.42154338258794716,0.3143731659572145,293.34004898060766
Equatorial Guinea,1980,2023,0.05549,5.471027525,5.415537525,9759.483735808255,0.19224373276423554,2.9612354124301983,2.768991679665963,1440.3547204640513
Zimbabwe,1980,2023,7.673434383,12.578125349,4.904690966,63.917806828009475,1.0897747736462982,0.7697364850111562,-0.32003828863514194,-29.367379056162196
Puerto Rico,1980,2023,14.007796001,18.833082261,4.82528626,34.44714828553706,4.358802370179981,5.809052638121321,1.4502502679413407,33.271760102338796
